TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
MEM,11/23/2016,MEM @ PHI,W,290,104,5
MIN,11/23/2016,MIN @ NOP,L,239,96,-21
DET,11/23/2016,DET vs. MIA,W,238,107,23
ATL,11/23/2016,ATL @ IND,W,239,96,11
PHX,11/23/2016,PHX @ ORL,W,241,92,5
DAL,11/23/2016,DAL vs. LAC,L,238,104,-20
SAC,11/23/2016,SAC vs. OKC,W,241,116,15
BKN,11/23/2016,BKN vs. BOS,L,240,92,-19
TOR,11/23/2016,TOR @ HOU,W,240,115,13
LAC,11/23/2016,LAC @ DAL,W,240,124,20
ORL,11/23/2016,ORL vs. PHX,L,238,87,-5
CLE,11/23/2016,CLE vs. POR,W,240,137,12
OKC,11/23/2016,OKC @ SAC,L,240,101,-15
HOU,11/23/2016,HOU vs. TOR,L,240,102,-13
DEN,11/23/2016,DEN @ UTA,L,241,83,-25
POR,11/23/2016,POR @ CLE,L,241,125,-12
IND,11/25/2016,IND vs. BKN,W,241,118,21
CHA,11/25/2016,CHA @ NYK,L,265,111,-2
PHI,11/25/2016,PHI vs. CHI,L,242,89,-16
SAC,11/25/2016,SAC vs. HOU,L,239,104,-13
ATL,11/25/2016,ATL @ UTA,L,240,68,-27
LAL,11/25/2016,LAL vs. GSW,L,241,85,-24
ORL,11/25/2016,ORL vs. WAS,L,239,91,-3
HOU,11/25/2016,HOU @ SAC,W,240,117,13
DEN,11/25/2016,DEN vs. OKC,L,264,129,-3
DAL,11/25/2016,DAL @ CLE,L,239,90,-38
SAS,11/25/2016,SAS @ BOS,W,240,109,6
OKC,11/25/2016,OKC @ DEN,W,264,132,3
NYK,11/25/2016,NYK vs. CHA,W,266,113,2
MEM,11/25/2016,MEM vs. MIA,L,241,81,-9
MIA,11/25/2016,MIA @ MEM,W,240,90,9
BKN,11/25/2016,BKN @ IND,L,242,97,-21
LAC,11/25/2016,LAC @ DET,L,240,97,-11
MIL,11/25/2016,MIL vs. TOR,L,240,99,-6
WAS,11/25/2016,WAS @ ORL,W,241,94,3
PHX,11/25/2016,PHX vs. MIN,L,239,85,-13
UTA,11/25/2016,UTA vs. ATL,W,239,95,27
DET,11/25/2016,DET vs. LAC,W,239,108,11
BOS,11/25/2016,BOS vs. SAS,L,240,103,-6
GSW,11/25/2016,GSW @ LAL,W,241,109,24
MIN,11/25/2016,MIN @ PHX,W,240,98,13
CHI,11/25/2016,CHI @ PHI,W,241,105,16
TOR,11/25/2016,TOR @ MIL,W,240,105,6
CLE,11/25/2016,CLE vs. DAL,W,240,128,38
POR,11/25/2016,POR vs. NOP,W,239,119,15
NOP,11/25/2016,NOP @ POR,L,241,104,-15
MEM,11/26/2016,MEM @ MIA,W,239,110,3
DET,11/26/2016,DET @ OKC,L,240,88,-18
CHA,11/26/2016,CHA vs. NYK,W,240,107,5
MIA,11/26/2016,MIA vs. MEM,L,240,107,-3
